127.0.0.1 - - [16/May/2024:09:39:49 +0530] "GET / HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [16/May/2024:09:39:49 +0530] "GET /index.jsp HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [16/May/2024:09:39:59 +0530] "GET /addPayment.jsp HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [16/May/2024:09:39:59 +0530] "GET /assests/css/paymentform.css.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2024:09:39:59 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:09:39:59 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:13 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:13 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:13 +0530] "POST /addPayment HTTP/1.1" 200 31678
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:23 +0530] "GET /deletePayment.jsp?id=2 HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:23 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:23 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:09:40:25 +0530] "POST /deletePayment HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [16/May/2024:09:58:47 +0530] "GET /addPayment.jsp HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [16/May/2024:09:58:47 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:09:58:47 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:09:58:47 +0530] "GET /assests/css/paymentform.css.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2024:11:27:33 +0530] "GET /index.jsp HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [16/May/2024:11:27:40 +0530] "GET /addPayment.jsp HTTP/1.1" 200 7216
0:0:0:0:0:0:0:1 - - [16/May/2024:11:27:40 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:11:27:40 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:11:27:40 +0530] "GET /assests/css/paymentform.css.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:04 +0530] "POST /addPayment HTTP/1.1" 200 31687
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:04 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:04 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:25 +0530] "GET /deletePayment.jsp?id=35 HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:25 +0530] "GET /assests/css/1adminlogin.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:25 +0530] "GET /assests/css/Header.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2024:11:28:27 +0530] "POST /deletePayment HTTP/1.1" 200 5077
